sentence,English Translation,Sentence Type,POS Tags,Phrase Structure,Annotated Trees,Unnamed: 6,Unnamed: 7,Unnamed: 8,Notes
Mo f?? ìwé.,I want a book.,Simple,PRON VERB NOUN,S ? NP VP,(IP (NP Mo) (VP f?? (NP ìwé))),,,,—
Ó ra a??.,He/She bought clothes.,Simple,PRON VERB NOUN,S ? NP VP,(IP (NP Ó) (VP ra (NP a??))),,,,—
?é W??n l??,Did they go?,Interrogative,Q PRON VERB,S ? Q NP VP,(CP (QP ?é) (IP (NP W??n) (VP l?))),,,,Ques
Kò j? ounj?.,He/She did not eat food.,Negative,NEG VERB NOUN,S ? Neg VP,(IP (NP Ø) (VP kò (VP j? (NP ounj?)))),,,,Neg
Ra ìwé náà.,Buy that book.,Imperative,VERB NOUN DET,S ? VP,(IP (VP Ra (NP ìwé náà))),,,,—
"Tàíwò k?rin, Àlàbí sùn.","Taiwo sang, Alabi slept.",Compound,"NOUN VERB, NOUN VERB","S ? S , S",(CP (IP (NP Tàíwò) (VP k?rin)) (CP (NP Àlàbí) (VP sùn))),,,,Comp
Àwa m?? pé ó l?.,We know that he went.,Complex,PRON VERB COMP PRON VERB,S ? NP VP CP,(IP (NP Àwa) (VP m?? (CP (C pé) (IP (NP ó) (VP l?))))),,,,Embed
?m? tí mo rí.,The child that I saw.,Relative Clause,NOUN REL PRON VERB,NP ? NP CP,(NP (NP ?m?) (CP (C tí) (IP (NP mo) (VP rí))))),,,,Embed
Ìwé ni mo rà.,It is book that I bought.,Focus,NOUN FOC PRON VERB,S ? FocP VP,(IP (NP Ìwé) (VP ni (CP (C Ø) (IP (NP mo) (VP rà)))))),,,,Focus
"Ìwé náà, mo ka á.","The book, I read it.",Topicalization,"NOUN DET, PRON VERB PRON",S ? Topic S,(IP (NP Ìwé náà) (IP (NP mo) (VP ka á))),,,,Topical
W??n f?? ra a?? tuntun.,They want to buy new clothes.,SVC,PRON AUX VERB NOUN ADJ,S ? NP VP,(IP (NP W??n) (VP f?? (VP ra (NP a?? tuntun))))),,,,—
Kò l? sí ilé.,He/She did not go home.,Negative,NEG VERB PREP NOUN,S ? Neg VP,(IP (NP Ø) (VP kò (VP l? (PP sí ilé))))),,,,Neg
?é ìyá mi wà ní ilé?,Is my mother at home?,Interrogative,Q NOUN POSS AUX PREP NOUN,S ? Q NP VP,(CP (QP ?é) (IP (NP ìyá mi) (VP wà (PP ní ilé))))),,,,Ques
Gbà óu?j? yìí,Take this food.,Imperative,VERB DET NOUN,S ? VP,(IP (VP Gbà (NP òunj? yìí))),,,,—
Àlàbí m?? pé ?m? náà l? sí ile.,Alabi knows that the child went home.,Complex,NOUN VERB COMP NOUN VERB PREP NOUN,S ? NP VP CP,(IP (NP Àlàbí) (VP m?? (CP (C pé) (IP (NP ?m? náà) (VP l? (PP sí ilé))))))),,,,Embed
?ran tí mo rà.,The meat that I bought.,Relative Clause,NOUN REL PRON VERB,NP ? NP CP,(NP (NP ?ran) (CP (C tí) (IP (NP mo) (VP rà))))),,,,Embed
